case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000001,2026-01-01T00:00:00Z,2025-01-02 09:15:22+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,2.5,18.4,solved,answered,FALSE,support,,3,standard,London,25-34,F,how do i add a new polaris board for the marketing team?,Neutral,5,how_to; onboarding; polaris; configuration
ND-2025-000002,2026-01-01T00:00:00Z,2025-01-02 10:04:11+00:00,webchat,service_request,how_to_training,feature_how_to,Low,48.0,5.1,36.2,solved,answered,FALSE,support,,1,free,North West,18-24,M,need help setting up widgets on my dashboard,Neutral,4,how_to; widget; dashboard; setup
ND-2025-000003,2026-01-01T00:00:00Z,2025-01-02 11:22:45+00:00,in_app,incident,access_permissions,password_reset,High,8.0,0.5,3.1,solved,fixed,FALSE,support,,14,pro,South East,45-54,M,orbit id isn't accepting my password after the break,Negative,4,orbit_id; password; login; locked_out
ND-2025-000004,2026-01-01T00:00:00Z,2025-01-03 08:45:00+00:00,email,service_request,how_to_training,best_practice,Low,48.0,12.2,,open,,FALSE,support,,5,standard,Scotland,35-44,F,what's the best practice for sharing polaris boards with external clients?,Neutral,,how_to; best_practice; polaris; sharing
ND-2025-000005,2026-01-01T00:00:00Z,2025-01-03 09:10:15+00:00,phone,incident,billing_payments,invoice_error,Urgent,4.0,0.2,3.5,solved,fixed,TRUE,billing,support,24,enterprise,London,55-64,M,double charged for the pro tier upgrade on my jan invoice,Negative,3,invoice; duplicate_charge; pro_tier; billing
ND-2025-000006,2026-01-01T00:00:00Z,2025-01-03 14:33:50+00:00,email,service_request,data_reporting,export_issue,Medium,24.0,3.5,,pending,,FALSE,data,,8,pro,West Midlands,35-44,F,exporting the q4 report to csv returns blank rows,Negative,,export; csv; polaris; report
ND-2025-000007,2026-01-01T00:00:00Z,2025-01-04 08:55:10+00:00,webchat,incident,bug,ui_glitch,Medium,24.0,1.1,5.6,solved,fixed,FALSE,engineering,,2,standard,East of England,25-34,M,the navigation bar is overlapping my charts,Negative,5,bug; ui; glitch; chrome
ND-2025-000008,2026-01-01T00:00:00Z,2025-01-04 10:12:05+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.2,,open,,FALSE,support,,1,standard,London,25-34,F,new starter here - how do i link the xero connector?,Neutral,,how_to; onboarding; connector; xero
ND-2025-000009,2026-01-01T00:00:00Z,2025-01-04 13:45:22+00:00,in_app,incident,access_permissions,sso_setup,High,8.0,1.5,4.0,solved,fixed,FALSE,support,,36,enterprise,South West,45-54,M,sso failing for our domain via orbit id,Negative,5,sso; orbit_id; okta; domain
ND-2025-000010,2026-01-01T00:00:00Z,2025-01-05 09:00:01+00:00,email,service_request,how_to_training,examples_needed,Low,48.0,14.5,,new,,FALSE,support,,2,free,Yorkshire,18-24,F,can you show me an example of a sales pipeline widget?,Neutral,,how_to; widget; examples; polaris
ND-2025-000011,2026-01-01T00:00:00Z,2025-01-05 11:20:30+00:00,webchat,service_request,account_admin,user_add_remove,Medium,24.0,0.8,2.2,solved,answered,FALSE,support,,6,pro,North East,35-44,M,need to remove three users who left in december,Neutral,5,user_management; admin; removal; organization
ND-2025-000012,2026-01-01T00:00:00Z,2025-01-05 15:05:15+00:00,email,incident,integrations,api_auth_error,High,8.0,2.1,12.5,solved,fixed,TRUE,engineering,support,12,pro,London,25-34,M,salesforce connector throwing 401 unauthorized errors,Negative,4,connector; salesforce; api; auth
ND-2025-000013,2026-01-01T00:00:00Z,2025-01-06 08:30:45+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.5,,open,,FALSE,engineering,,1,standard,Wales,25-34,F,i can't figure out how to create a dashboard,Neutral,,how_to; polaris; onboarding; setup
ND-2025-000014,2026-01-01T00:00:00Z,2025-01-06 09:50:10+00:00,phone,incident,performance_outage,latency_spike,Urgent,4.0,0.1,2.8,solved,fixed,FALSE,engineering,,40,enterprise,London,35-44,M,polaris board is loading extremely slowly this morning,Negative,3,latency; slow; loading; spinner
