case_id,case_summary,created_at,channel,case_type,category,plan_tier,customer_tenure_months,priority
ND-2025-000001,how do i add a new polaris board for the marketing team?,2025-01-02 09:15:22+00:00,email,service_request,how_to_training,standard,3,Medium
ND-2025-000002,need help setting up widgets on my dashboard,2025-01-02 10:04:11+00:00,webchat,service_request,how_to_training,free,1,Low
ND-2025-000003,orbit id isn't accepting my password after the break,2025-01-02 11:22:45+00:00,in_app,incident,access_permissions,pro,14,High
ND-2025-000004,what's the best practice for sharing polaris boards with external clients?,2025-01-03 08:45:00+00:00,email,service_request,how_to_training,standard,5,Low
ND-2025-000005,double charged for the pro tier upgrade on my jan invoice,2025-01-03 09:10:15+00:00,phone,incident,billing_payments,enterprise,24,Urgent
ND-2025-000006,exporting the q4 report to csv returns blank rows,2025-01-03 14:33:50+00:00,email,service_request,data_reporting,pro,8,Medium
ND-2025-000007,the navigation bar is overlapping my charts,2025-01-04 08:55:10+00:00,webchat,incident,bug,standard,2,Medium
ND-2025-000008,new starter here - how do i link the xero connector?,2025-01-04 10:12:05+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000009,sso failing for our domain via orbit id,2025-01-04 13:45:22+00:00,in_app,incident,access_permissions,enterprise,36,High
ND-2025-000010,can you show me an example of a sales pipeline widget?,2025-01-05 09:00:01+00:00,email,service_request,how_to_training,free,2,Low
ND-2025-000011,need to remove three users who left in december,2025-01-05 11:20:30+00:00,webchat,service_request,account_admin,pro,6,Medium
ND-2025-000012,salesforce connector throwing 401 unauthorized errors,2025-01-05 15:05:15+00:00,email,incident,integrations,pro,12,High
ND-2025-000013,i can't figure out how to create a dashboard,2025-01-06 08:30:45+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000014,polaris board is loading extremely slowly this morning,2025-01-06 09:50:10+00:00,phone,incident,performance_outage,enterprise,40,Urgent
ND-2025-000015,explain the difference between editor and viewer in orbit id roles,2025-01-06 12:15:33+00:00,in_app,service_request,how_to_training,standard,3,Low
